         25989017 function calls (19595184 primitive calls) in 11.450 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      105    0.002    0.000    0.404    0.004 measure.py:147(_update_xml_backup_note_direction)
      477    0.002    0.000    0.005    0.000 core.py:5(get_cleaned_token)
      413    0.002    0.000    0.476    0.001 chord.py:93(_update_xml_articulations)
        2    0.002    0.001    0.002    0.001 {method 'write' of '_io.TextIOWrapper' objects}
     1415    0.002    0.000    0.006    0.000 beat.py:289(is_filled)
      413    0.002    0.000    0.064    0.000 accidental.py:159(__init__)
     1008    0.002    0.000    0.018    0.000 xsdsimpletype.py:200(value)
     2666    0.002    0.000    0.002    0.000 staff.py:124(get_parent)
      506    0.002    0.000    0.043    0.000 voice.py:95(add_chord)
      112    0.002    0.000    0.010    0.000 xmlchildcontainer.py:448(<listcomp>)
      640    0.002    0.000    0.012    0.000 xsdsimpletype.py:227(value)
      413    0.002    0.000    0.004    0.000 chord.py:145(_update_xml_lyrics)
      413    0.002    0.000    0.223    0.001 chord.py:120(get_note_xml_technical)
      413    0.002    0.000    0.008    0.000 note.py:57(_set_quarter_duration)
        1    0.002    0.002    1.858    1.858 xmlelement.py:354(to_string)
      931    0.002    0.000    0.010    0.000 quarterduration.py:282(_set_quarter_duration)
      413    0.002    0.000    0.307    0.001 note.py:136(_update_xml_type)
     1748    0.002    0.000    0.002    0.000 staff.py:117(get_children)
      815    0.002    0.000    0.005    0.000 accidental.py:175(xml_object)
1924/1015    0.001    0.000    0.092    0.000 core.py:253(get_voice)
     2474    0.001    0.000    0.002    0.000 measure.py:364(get_parent)
      365    0.001    0.000    0.008    0.000 beat.py:205(<listcomp>)
     2823    0.001    0.000    0.737    0.000 {built-in method builtins.setattr}
      422    0.001    0.000    0.250    0.001 xmlchildcontainer.py:501(duplicate)
      590    0.001    0.000    0.002    0.000 quarterduration.py:169(__hash__)
      113    0.001    0.000    0.003    0.000 ElementTree.py:1334(XML)
     3229    0.001    0.000    0.002    0.000 xmlchildcontainer.py:286(<listcomp>)
      413    0.001    0.000    0.230    0.001 chord.py:94(_get_note_xml_articulations)
      826    0.001    0.000    0.126    0.000 accidental.py:248(show)
      422    0.001    0.000    0.254    0.001 xmlchildcontainer.py:246(_duplicate_parent_in_path)
      413    0.001    0.000    0.697    0.002 note.py:143(_update_xml_voice)
      826    0.001    0.000    0.014    0.000 xsdsimpletype.py:177(value)
      422    0.001    0.000    0.238    0.001 xmlchildcontainer.py:235(_create_empty_copy)
      413    0.001    0.000    0.391    0.001 chord.py:59(_set_midis)
      908    0.001    0.000    0.007    0.000 voice.py:120(get_current_beat)
      105    0.001    0.000    8.002    0.076 measure.py:169(final_updates)
      422    0.001    0.000    0.010    0.000 xmlchildcontainer.py:148(_add_duplication_parent)
     1587    0.001    0.000    0.001    0.000 xmlelement.py:290(<listcomp>)
     1893    0.001    0.000    0.002    0.000 xmlchildcontainer.py:360(chosen_child)
        1    0.001    0.001    0.001    0.001 {built-in method io.open}
        1    0.001    0.001   11.471   11.471 profile_tuplets.py:11(p)
      105    0.001    0.000    0.054    0.001 time.py:103(_update_signature)
      391    0.001    0.000    0.002    0.000 note.py:295(remove_tie)
     1272    0.001    0.000    0.003    0.000 core.py:24(<listcomp>)
     5577    0.001    0.000    0.001    0.000 midi.py:99(value)
  477/474    0.001    0.000    0.026    0.000 xsdsimpletype.py:270(value)
      113    0.001    0.000    0.001    0.000 {method 'feed' of 'xml.etree.ElementTree.XMLParser' objects}
      413    0.001    0.000    0.392    0.001 midi.py:19(__init__)
      826    0.001    0.000    0.194    0.000 accidental.py:167(_update_parent_midi)
     1148    0.001    0.000    0.001    0.000 clef.py:82(xml_object)
     1025    0.001    0.000    0.001    0.000 voice.py:68(xml_object)
      413    0.001    0.000    0.123    0.000 chord.py:171(_update_xml_chord)
      413    0.001    0.000    0.087    0.000 midi.py:46(update_pitch_or_rest)
      413    0.001    0.000    0.023    0.000 note.py:85(_update_xml_dots)
     1015    0.001    0.000    0.018    0.000 core.py:242(get_staff)
      105    0.001    0.000    7.294    0.069 beat.py:386(final_updates)
      413    0.001    0.000    0.237    0.001 midi.py:142(add_child)
      105    0.001    0.000    0.054    0.001 measure.py:315(add_staff)
  838/523    0.001    0.000    0.004    0.000 core.py:167(<listcomp>)
      435    0.001    0.000    0.160    0.000 chord.py:225(_update_tie)
     1819    0.001    0.000    0.001    0.000 core.py:48(<dictcomp>)
      104    0.001    0.000    0.042    0.000 key.py:21(fifths)
      826    0.001    0.000    0.040    0.000 accidental.py:171(_update_xml_object)
  630/105    0.001    0.000    0.002    0.000 core.py:95(quantize)
      104    0.001    0.000    0.043    0.000 clef.py:23(line)
      804    0.001    0.000    0.008    0.000 numbers.py:91(__sub__)
      931    0.001    0.000    0.139    0.000 quarterduration.py:278(__init__)
      413    0.001    0.000    0.302    0.001 midi.py:74(accidental)
      699    0.001    0.000    0.001    0.000 quarterduration.py:184(__neg__)
    212/1    0.001    0.000    8.003    8.003 finalupdate_mixin.py:9(final_updates)
      209    0.001    0.000    0.192    0.001 key.py:14(__init__)
      413    0.001    0.000    0.132    0.000 note.py:133(_update_xml_staff)
      506    0.001    0.000    0.098    0.000 measure.py:303(add_chord)
      413    0.001    0.000    0.807    0.002 chord.py:205(_update_notes_quarter_duration)
      105    0.001    0.000    0.008    0.000 voice.py:131(update_beats)
      413    0.001    0.000    0.003    0.000 chord.py:458(get_staff_number)
      413    0.001    0.000    0.004    0.000 chord.py:464(get_voice_number)
      113    0.001    0.000    0.005    0.000 xmlchildcontainer.py:127(__init__)
      104    0.001    0.000    0.045    0.000 clef.py:54(sign)
      105    0.001    0.000    0.395    0.004 measure.py:23(__init__)
      105    0.001    0.000    0.201    0.002 measure.py:33(_set_attributes)
      413    0.001    0.000    0.001    0.000 midi.py:92(parent_note)
      507    0.001    0.000    0.060    0.000 measure.py:333(add_voice)
     3821    0.001    0.000    0.001    0.000 midi.py:70(accidental)
      413    0.001    0.000    0.005    0.000 accidental.py:205(mode)
      403    0.001    0.000    0.001    0.000 part.py:320(set_current_measure)
      826    0.001    0.000    0.001    0.000 midi.py:155(get_parent)
      413    0.001    0.000    0.385    0.001 chord.py:73(<listcomp>)
      413    0.001    0.000    0.088    0.000 midi.py:103(value)
      413    0.001    0.000    0.007    0.000 chord.py:293(quarter_duration)
      105    0.001    0.000    0.032    0.000 measure.py:198(update_divisions)
      105    0.001    0.000    0.025    0.000 measure.py:44(_set_key)
      105    0.001    0.000    0.041    0.000 beat.py:422(split_not_writable_chords)
      105    0.001    0.000    1.966    0.019 beat.py:245(_update_note_tuplets_and_dots)
     1248    0.001    0.000    0.002    0.000 core.py:113(quantize)
     1239    0.001    0.000    0.001    0.000 quarterduration.py:34(denominator)
      208    0.001    0.000    0.001    0.000 measure.py:224(number)
      105    0.001    0.000    0.011    0.000 measure.py:37(_set_clefs)
     3006    0.001    0.000    0.001    0.000 accidental.py:184(mode)
      105    0.001    0.000    0.021    0.000 measure.py:56(_set_time)
      413    0.001    0.000    0.005    0.000 note.py:289(get_voice_number)
      413    0.001    0.000    0.027    0.000 note.py:348(update_dots)
      104    0.001    0.000    0.225    0.002 clef.py:86(__copy__)
      413    0.001    0.000    0.001    0.000 numbers.py:283(__float__)
      413    0.001    0.000    0.003    0.000 chord.py:452(get_parent_measure)
      105    0.001    0.000    0.007    0.000 staff.py:66(add_child)
      413    0.001    0.000    0.001    0.000 chord.py:76(_update_xml_directions)
      413    0.001    0.000    0.004    0.000 note.py:283(get_staff_number)
      105    0.001    0.000    0.001    0.000 ElementPath.py:226(prepare_predicate)
      826    0.001    0.000    0.001    0.000 quarterduration.py:23(numerator)
      105    0.001    0.000    0.008    0.000 measure.py:270(add_child)
     2180    0.001    0.000    0.001    0.000 chord.py:248(midis)
      413    0.001    0.000    0.006    0.000 chord.py:364(add_child)
      105    0.001    0.000    0.001    0.000 time.py:26(_calculate_actual_signatures)
      105    0.001    0.000    0.118    0.001 time.py:14(__init__)
      402    0.001    0.000    0.001    0.000 quarterduration.py:306(check_quarter_duration_value)
      826    0.001    0.000    0.001    0.000 quarterduration.py:78(as_integer_ratio)
      413    0.001    0.000    0.001    0.000 note.py:50(_check_xml_duration_value)
  315/105    0.001    0.000    0.002    0.000 core.py:144(get_beats)
      413    0.001    0.000    0.001    0.000 midi.py:94(<listcomp>)
     2065    0.001    0.000    0.001    0.000 note.py:202(parent_chord)
     2054    0.001    0.000    0.001    0.000 note.py:177(midi)
      132    0.000    0.000    0.000    0.000 {built-in method fromkeys}
     2054    0.000    0.000    0.000    0.000 accidental.py:240(show)
      105    0.000    0.000    0.001    0.000 beat.py:267(_get_actual_notes)
      315    0.000    0.000    0.001    0.000 measure.py:203(clefs)
      105    0.000    0.000    0.021    0.000 measure.py:50(_set_staves)
     1129    0.000    0.000    0.000    0.000 staff.py:43(number)
      104    0.000    0.000    0.003    0.000 staff.py:143(get_last_pitch_steps_with_accidentals)
      413    0.000    0.000    0.004    0.000 note.py:277(get_parent_measure)
      402    0.000    0.000    0.016    0.000 beat.py:191(_split_not_writable)
      210    0.000    0.000    0.010    0.000 voice.py:60(number)
      517    0.000    0.000    0.001    0.000 chord.py:237(is_rest)
      105    0.000    0.000    0.018    0.000 voice.py:18(__init__)
      105    0.000    0.000    0.004    0.000 staff.py:131(get_previous_staff)
      105    0.000    0.000    0.018    0.000 staff.py:20(__init__)
