33.726771585
         60844953 function calls (53920799 primitive calls) in 34.593 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1000    0.011    0.000    0.898    0.001 layout.py:217(score)
     3000    0.011    0.000    1.265    0.000 xmlchildcontainer.py:503(duplicate)
     1000    0.011    0.000    0.158    0.000 measure.py:62(_update_accidentals)
    12000    0.011    0.000    0.091    0.000 numbers.py:91(__sub__)
     3000    0.011    0.000    1.070    0.000 xmlchildcontainer.py:235(_create_empty_copy)
     1000    0.011    0.000    4.632    0.005 chord.py:161(_update_notes)
     1000    0.011    0.000    6.043    0.006 chord.py:178(final_updates)
     7229    0.011    0.000    0.029    0.000 re.py:289(_compile)
    92000    0.011    0.000    0.011    0.000 {method 'items' of 'xml.etree.ElementTree.Element' objects}
     4000    0.010    0.000    0.030    0.000 quarterduration.py:181(__mul__)
     6000    0.010    0.000    0.034    0.000 quarterduration.py:193(__radd__)
    11000    0.010    0.000    0.017    0.000 xmlelement.py:55(<listcomp>)
     5000    0.010    0.000    0.087    0.000 xsdsimpletype.py:156(value)
     2000    0.010    0.000    0.039    0.000 xmlchildcontainer.py:468(<listcomp>)
    28000    0.010    0.000    0.013    0.000 core.py:6(<genexpr>)
     6000    0.010    0.000    0.016    0.000 xmlelement.py:281(find_children)
    23000    0.010    0.000    0.042    0.000 accidental.py:214(parent_midi)
     1000    0.010    0.000    6.198    0.006 part.py:250(add_measure)
     1000    0.010    0.000    1.294    0.001 measure.py:317(add_staff)
    58000    0.009    0.000    0.009    0.000 quarterduration.py:289(quarter_duration)
     1000    0.009    0.000    0.532    0.001 note.py:98(_update_xml_duration)
     1000    0.009    0.000    1.395    0.001 layout.py:354(__init__)
     3000    0.009    0.000    0.043    0.000 layout.py:135(parent)
    10000    0.009    0.000    0.010    0.000 quarterduration.py:184(__neg__)
     3000    0.009    0.000    0.029    0.000 tree.py:84(next)
    11000    0.009    0.000    0.011    0.000 chord.py:445(get_parent)
     1000    0.009    0.000    3.313    0.003 measure.py:23(__init__)
     1000    0.009    0.000    0.307    0.000 ElementTree.py:693(write)
     1000    0.008    0.000    0.062    0.000 beat.py:197(_update_dots)
     1000    0.008    0.000    1.405    0.001 part.py:124(__init__)
     1000    0.008    0.000    0.516    0.001 note.py:112(_update_xml_pitch_or_rest)
     4000    0.008    0.000    6.163    0.002 beat.py:386(final_updates)
6000/3000    0.008    0.000    0.056    0.000 core.py:167(<listcomp>)
     7000    0.008    0.000    0.042    0.000 quarterduration.py:282(_set_quarter_duration)
     1000    0.008    0.000    0.323    0.000 ElementTree.py:1092(tostring)
    14000    0.008    0.000    0.009    0.000 core.py:9(<listcomp>)
     1000    0.008    0.000    1.081    0.001 chord.py:40(__init__)
     1000    0.008    0.000    0.835    0.001 measure.py:270(add_child)
     1000    0.008    0.000    0.970    0.001 measure.py:147(_update_xml_backup_note_direction)
     1000    0.008    0.000    0.147    0.000 measure.py:37(_set_clefs)
    28000    0.008    0.000    0.009    0.000 core.py:7(<genexpr>)
     2000    0.007    0.000    0.008    0.000 quarterduration.py:169(__hash__)
     1000    0.007    0.000    7.144    0.007 part.py:207(add_chord)
     5000    0.007    0.000    0.007    0.000 {method 'fullmatch' of 're.Pattern' objects}
     9000    0.007    0.000    0.009    0.000 staff.py:117(get_children)
    28000    0.007    0.000    0.009    0.000 core.py:8(<genexpr>)
     3000    0.007    0.000    1.274    0.000 xmlchildcontainer.py:246(_duplicate_parent_in_path)
